3V3,16.95,109.60,0.00,TPTP20R,TP20R
BOOT_BUTTON,44.45,109.22,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,129.54,12.70,90.00,100nF,EAGLE-LTSPICE_C0402
C10,64.77,109.22,90.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,94.71,48.18,0.00,CPH3225A,CAPCP3225X100N
C1_BAT,57.15,93.98,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,45.45,68.16,90.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,45.69,74.56,90.00,4.7uF,EAGLE-LTSPICE_C0402
C2,125.73,12.70,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,52.07,93.98,0.00,4.7uF,EAGLE-LTSPICE_C0402
C3,52.07,68.58,90.00,"100uF TANT",RCL_CT3528
C4,123.65,30.83,0.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,147.94,45.72,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,29.21,109.22,90.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,146.40,45.72,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,48.26,109.22,90.00,100nF,EAGLE-LTSPICE_C0402
C7,123.65,33.37,0.00,10uF,EAGLE-LTSPICE_C0402
C8,94.71,51.99,0.00,100nF,EAGLE-LTSPICE_C0402
C9,13.97,83.82,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,60.96,109.22,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,46.99,88.90,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,1.81,103.68,90.00,100nF,EAGLE-LTSPICE_C0402
D1,144.67,54.61,180.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,14.78,21.02,90.00,PGB1010603MR,DIOC1608X36N
D11,9.70,21.02,90.00,PGB1010603MR,DIOC1608X36N
D12,4.62,21.02,90.00,PGB1010603MR,DIOC1608X36N
D2,59.15,67.58,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,80.82,35.56,0.00,MBR0530,SOD3716X135N
D4,68.93,35.56,0.00,MBR0530,SOD3716X135N
D5,92.71,35.56,0.00,MBR0530,SOD3716X135N
D6,30.02,21.02,90.00,PGB1010603MR,DIOC1608X36N
D7,94.71,57.07,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,24.94,21.02,90.00,PGB1010603MR,DIOC1608X36N
D9,19.86,21.02,90.00,PGB1010603MR,DIOC1608X36N
EPD_3V3,90.92,82.60,0.00,TPTP20R,TP20R
EPD_3V3_C,90.92,98.52,0.00,TPTP20R,TP20R
EPD_BUSY,40.07,1.28,0.00,TPTP20R,TP20R
EPD_C1,92.52,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,71.74,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,70.71,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,69.66,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,91.47,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,76.90,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,75.87,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,74.85,26.94,270.00,1uF/50V,EAGLE-LTSPICE_C0402
